scene_index,scene_id,condition,source_identity,measurement_band,combination_weights_g_r_z,measured_flux_electrons,sigma_electrons,relative_sigma,frozen_noise_z,measurement_seed,catalog_sha256,latent_catalog_value_persisted,measurement_source
73,v2_r_training_00073,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",45940.27038091559,2541.65,0.05,-1.9250209978102457,2026079106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",17473.60565468968,878.4000000000001,0.05,-0.10746168637331452,2026079106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",31287.695440740685,1733.65,0.05,-1.9527035787265685,2026079106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",16055.563124001063,794.9000000000001,0.05,0.19821754183049847,2026079106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",1238091.6888784177,57967.05,0.05,1.3585422904635953,2026079905,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",1285892.9202905823,64922.0,0.05,-0.19326391222416966,2026079905,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",190097.79198232532,8547.1,0.05,2.2412036810526748,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",451952.01844425424,22613.15,0.05,-0.013752243970689238,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",531018.2642535674,26806.800000000003,0.05,-0.19091184872616343,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",131274.5316352563,6650.450000000001,0.05,-0.26080466205199704,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",484021.1244195139,23377.75,0.05,0.7043502655094657,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",759960.1251994598,34893.8,0.05,1.779230843286194,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
