condition,scope,contract,ranking,target_coverage,accepted_count,total_count,realized_coverage,selective_risk,accepted_source_mse,catastrophic_failure_rate,hallucination_rate,source_confusion_rate,mean_flux_error,mean_color_error,mean_centroid_error,accepted_query_composition,rejected_query_composition
PhaseI_C,all,moderate,model,0.8,1600,2000,0.8,0.996875,1775638.684076134,0.515625,0.015625,0.013125,9.483127894642438,0.6330822363304452,4.243852683621173,"{""AMBIGUOUS_SOURCE"": 322, ""NULL_SOURCE"": 321, ""PERTURBED_VALID"": 248, ""VALID_SOURCE"": 709}","{""AMBIGUOUS_SOURCE"": 78, ""NULL_SOURCE"": 79, ""PERTURBED_VALID"": 52, ""VALID_SOURCE"": 191}"
PhaseI_C,all,moderate,model,0.7,1400,2000,0.7,0.9971428571428571,318931.32219506544,0.5142857142857142,0.017857142857142856,0.013571428571428571,9.154935182050414,0.6369748655429425,4.293543232230622,"{""AMBIGUOUS_SOURCE"": 293, ""NULL_SOURCE"": 282, ""PERTURBED_VALID"": 220, ""VALID_SOURCE"": 605}","{""AMBIGUOUS_SOURCE"": 107, ""NULL_SOURCE"": 118, ""PERTURBED_VALID"": 80, ""VALID_SOURCE"": 295}"
PhaseI_C,all,moderate,model,0.5,1000,2000,0.5,0.997,345580.55894188705,0.533,0.018,0.012,10.182289042051442,0.6325489905074595,4.3565691498611185,"{""AMBIGUOUS_SOURCE"": 208, ""NULL_SOURCE"": 190, ""PERTURBED_VALID"": 163, ""VALID_SOURCE"": 439}","{""AMBIGUOUS_SOURCE"": 192, ""NULL_SOURCE"": 210, ""PERTURBED_VALID"": 137, ""VALID_SOURCE"": 461}"
PhaseI_C,all,moderate,oracle,1.0,2000,2000,1.0,0.9965,2679715.8224526267,0.516,0.015,0.0145,9.755414032106524,0.6296919173286522,4.25077870528359,"{""AMBIGUOUS_SOURCE"": 400, ""NULL_SOURCE"": 400, ""PERTURBED_VALID"": 300, ""VALID_SOURCE"": 900}",{}
PhaseI_C,all,moderate,oracle,0.95,1900,2000,0.95,0.9963157894736843,2799954.658901632,0.5189473684210526,0.015263157894736841,0.01368421052631579,9.988682035594364,0.6299716842381773,4.281726746979995,"{""AMBIGUOUS_SOURCE"": 380, ""NULL_SOURCE"": 373, ""PERTURBED_VALID"": 290, ""VALID_SOURCE"": 857}","{""AMBIGUOUS_SOURCE"": 20, ""NULL_SOURCE"": 27, ""PERTURBED_VALID"": 10, ""VALID_SOURCE"": 43}"
PhaseI_C,all,moderate,oracle,0.9,1800,2000,0.9,0.9961111111111111,2946911.7173877903,0.5166666666666667,0.01611111111111111,0.014444444444444444,9.540345296956492,0.6298916026525916,4.27161003029347,"{""AMBIGUOUS_SOURCE"": 364, ""NULL_SOURCE"": 353, ""PERTURBED_VALID"": 279, ""VALID_SOURCE"": 804}","{""AMBIGUOUS_SOURCE"": 36, ""NULL_SOURCE"": 47, ""PERTURBED_VALID"": 21, ""VALID_SOURCE"": 96}"
PhaseI_C,all,moderate,oracle,0.8,1600,2000,0.8,0.995625,1775651.3579175596,0.515,0.015625,0.013125,9.48108425737413,0.6325554963144449,4.237615135599648,"{""AMBIGUOUS_SOURCE"": 322, ""NULL_SOURCE"": 320, ""PERTURBED_VALID"": 248, ""VALID_SOURCE"": 710}","{""AMBIGUOUS_SOURCE"": 78, ""NULL_SOURCE"": 80, ""PERTURBED_VALID"": 52, ""VALID_SOURCE"": 190}"
PhaseI_C,all,moderate,oracle,0.7,1400,2000,0.7,0.995,318511.5139261831,0.5135714285714286,0.017857142857142856,0.013571428571428571,9.134014652941968,0.6358765634630251,4.279209595208677,"{""AMBIGUOUS_SOURCE"": 291, ""NULL_SOURCE"": 282, ""PERTURBED_VALID"": 220, ""VALID_SOURCE"": 607}","{""AMBIGUOUS_SOURCE"": 109, ""NULL_SOURCE"": 118, ""PERTURBED_VALID"": 80, ""VALID_SOURCE"": 293}"
PhaseI_C,all,moderate,oracle,0.5,1000,2000,0.5,0.993,345349.8216166759,0.531,0.018,0.012,10.142468811706378,0.6301457209326059,4.331367841879477,"{""AMBIGUOUS_SOURCE"": 207, ""NULL_SOURCE"": 189, ""PERTURBED_VALID"": 164, ""VALID_SOURCE"": 440}","{""AMBIGUOUS_SOURCE"": 193, ""NULL_SOURCE"": 211, ""PERTURBED_VALID"": 136, ""VALID_SOURCE"": 460}"
PhaseI_C,all,moderate,random,1.0,2000,2000,1.0,0.9965,2679715.8224526267,0.516,0.015,0.0145,9.755414032106522,0.6296919173286522,4.25077870528359,"{""AMBIGUOUS_SOURCE"": 400, ""NULL_SOURCE"": 400, ""PERTURBED_VALID"": 300, ""VALID_SOURCE"": 900}",{}
